,cbSize,cioengine,ciodepth,crw,cnproc,cdevice,cdirect,cmemlim,cfile,cbuffer_compress_percentage,cbuffer_compress_chunk,readBW_bytes,readBW,writeBW_bytes,writeBW,avgreadlat_ns,avgreadlat,avgwritelat_ns,avgwritelat,USR_UTIL_perc,SYS_UTIL_perc,IOW_UTIL_perc,IDL_UTIL_perc,CPU_UTIL_perc,diskutil-TOTAL_READS(KB),diskutil-TOTAL_WRITES(KB),diskutil-TOTAL_READS(MB),diskutil-TOTAL_WRITES(MB),diskutil-TOTAL_READS(GB),diskutil-TOTAL_WRITES(GB),diskutil-rMB/s,diskutil-wMB/s,diskutil-AVGRQ-SZ,diskutil-AVGQU-SZ,diskutil-DEV_UTIL
101,64K,sync,1,write,1,ssd-raid,1,none,none,50,256,0,0.0 B,1356269770,1.3 GB,0.0,0.0 ns,43481.537613,43.5 µs,2.0052,0.1288,0.1916,97.676,2.324,68.0,33558776.0,0.0,32772.0,0.0,32.0,0.201111,1200.47,0.421481,0.634815,61.9419
102,64K,sync,1,write,1,zram-lzo,1,none,none,50,256,0,0.0 B,924195448,881.4 MB,0.0,0.0 ns,66013.194336,66.0 µs,1.43,0.393514,0.0321622,98.1454,1.85459,0.0,33558836.0,0.0,32772.0,0.0,32.0,0.00282051,836.283,0.425385,0.743077,74.281
103,64K,sync,1,write,1,zram-zstd,1,none,none,50,256,0,0.0 B,171479739,163.5 MB,0.0,0.0 ns,377232.570465,377.2 µs,0.24165,0.39555,0.0204,99.3412,0.65885,0.0,33559372.0,0.0,32772.0,0.0,32.0,0.000544554,162.025,0.0821287,0.949208,94.8987
104,64K,sync,1,write,1,zram-lz4,1,none,none,50,256,0,0.0 B,934602827,891.3 MB,0.0,0.0 ns,65250.342497,65.3 µs,1.4075,0.392222,0.0194444,98.1811,1.81889,0.0,33558804.0,0.0,32772.0,0.0,32.0,0.00289474,844.869,0.436579,0.743421,74.2821
105,1M,sync,1,write,256,ram,1,none,none,50,256,0,0.0 B,39999695422,37.3 GB,0.0,0.0 ns,3208835.548615,3.2 ms,4.51273,0.366364,0.0263636,95.0936,4.90636,,,,,,,,,,,
106,1M,sync,1,write,256,ssd-raid,1,none,none,50,256,0,0.0 B,11199393209,10.4 GB,0.0,0.0 ns,20557116.136749,20.6 ms,17.44,0.186667,27.9567,54.4233,45.5767,0.0,33554432.0,0.0,32768.0,0.0,32.0,1.078,5988.9,1.484,818.652,56.048
107,1M,sync,1,write,256,zram-lzo,1,none,none,50,256,0,0.0 B,2723073257,2.5 GB,0.0,0.0 ns,94177430.732025,94.2 ms,4.2575,87.4242,0.005,8.31167,91.6883,0.0,33558872.0,0.0,32772.0,0.0,32.0,0.01,2174.52,1.46643,202.749,83.7329
108,1M,sync,1,write,256,zram-zstd,1,none,none,50,256,0,0.0 B,2743949717,2.6 GB,0.0,0.0 ns,94961650.309326,95.0 ms,4.22083,88.76,0.0175,7.00167,92.9983,0.0,33558896.0,0.0,32772.0,0.0,32.0,0.01,2209.51,1.46643,208.844,84.4086
109,1M,sync,1,write,256,zram-lz4,1,none,none,50,256,0,0.0 B,2698691357,2.5 GB,0.0,0.0 ns,96847877.465607,96.8 ms,4.29667,88.6692,0.00916667,7.025,92.975,0.0,33558872.0,0.0,32772.0,0.0,32.0,0.01,2155.94,1.46643,210.953,84.1779
110,4K,sync,1,write,256,ram,1,none,none,50,256,0,0.0 B,43111340486,40.2 GB,0.0,0.0 ns,13513.068289,13.5 µs,5.18545,0.363636,0.0136364,94.4355,5.56455,,,,,,,,,,,
111,4K,sync,1,write,256,ssd-raid,1,none,none,50,256,0,0.0 B,4617003274,4.3 GB,0.0,0.0 ns,222503.443759,222.5 µs,7.64,73.1929,9.35429,9.81143,90.1886,0.0,33558720.0,0.0,32772.0,0.0,32.0,0.594444,3356.41,0.82,22.7,75.8356
112,4K,sync,1,write,256,zram-lzo,1,none,none,50,256,0,0.0 B,2770276414,2.6 GB,0.0,0.0 ns,365408.324257,365.4 µs,4.4775,86.7892,0.0,8.73167,91.2683,0.0,33558864.0,0.0,32772.0,0.0,32.0,0.00714286,2208.8,1.35714,166.686,2642.61
113,4K,sync,1,write,256,zram-zstd,1,none,none,50,256,0,0.0 B,2814526406,2.6 GB,0.0,0.0 ns,359456.38423,359.5 µs,4.65417,85.0908,0.0,10.2558,89.7442,0.0,33558840.0,0.0,32772.0,0.0,32.0,0.00714286,2250.66,1.35714,170.244,1065.46
114,4K,sync,1,write,256,zram-lz4,1,none,none,50,256,0,0.0 B,2821691579,2.6 GB,0.0,0.0 ns,351315.291505,351.3 µs,4.65167,84.505,0.0075,10.8358,89.1642,0.0,33558840.0,0.0,32772.0,0.0,32.0,0.00714286,2265.87,1.35714,169.922,83.9964
115,64K,sync,1,write,256,ram,1,none,none,50,256,0,0.0 B,43882169052,40.9 GB,0.0,0.0 ns,154848.616362,154.8 µs,4.46333,0.3675,0.0391667,95.1267,4.87333,,,,,,,,,,,
116,64K,sync,1,write,256,ssd-raid,1,none,none,50,256,0,0.0 B,10998635841,10.2 GB,0.0,0.0 ns,1506246.083927,1.5 ms,16.6067,1.21667,20.5733,61.6,38.4,0.0,33554432.0,0.0,32768.0,0.0,32.0,1.074,5956.49,1.478,142.478,8149.55
117,64K,sync,1,write,256,zram-lzo,1,none,none,50,256,0,0.0 B,2717903683,2.5 GB,0.0,0.0 ns,5953730.482096,6.0 ms,4.35583,85.9908,0.0508333,9.6025,90.3975,0.0,33558864.0,0.0,32772.0,0.0,32.0,0.00857143,2169.39,1.26643,205.117,2424.54
118,64K,sync,1,write,256,zram-zstd,1,none,none,50,256,0,0.0 B,2685403545,2.5 GB,0.0,0.0 ns,5966617.29705,6.0 ms,3.96462,85.9769,0.0507692,10.0092,89.9908,0.0,33558888.0,0.0,32772.0,0.0,32.0,0.008,2179.7,1.182,199.405,85.368
119,64K,sync,1,write,256,zram-lz4,1,none,none,50,256,0,0.0 B,2682049673,2.5 GB,0.0,0.0 ns,6052861.351122,6.1 ms,3.87308,87.5292,0.0476923,8.55,91.45,0.0,33558872.0,0.0,32772.0,0.0,32.0,0.008,2175.57,1.182,204.949,405.563
